FID,TitleAr,TitleEn,BrandAR,BrandEN,CateguryAR,CateguryEN,min_price,max_price,price_spread,stores_count,price_rows,cheapest_price,cheapest_store_key,cheapest_store_name_ar,cheapest_store_name_en,cheapest_sid,cheapest_rid
16,مايونيز ثوم -  400 مل,Real Garlic Mayonnaise -  400 Ml,هاينز,Heinz,الصلصات والشطة,Sauces,18.95,26.99,8.04,6,6,18.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
17,طماطم مهروسة ناعمة -  700 غرام,Sieved Tomatoes -  700G,قودي,Goody,الصلصات والشطة,Sauces,12.95,14.99,2.040000000000001,4,4,12.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
20,مايونيز الأصلي -  940 مل,Original Mayonnaise -  940 Ml,قودي,Goody,الصلصات والشطة,Sauces,24.5,29.99,5.489999999999998,5,5,24.5,4,النفل,An Nafal - Riyadh,4,4
21,مايونيز خفيف -  400 مل,Light Mayonnaise - 400 Ml,هاينز,Heinz,الصلصات والشطة,Sauces,22.95,27.5,4.550000000000001,5,5,22.95,4,النفل,An Nafal - Riyadh,4,4
22,الصلصة الحارة بيري بالثوم  - 250 مل,NANDOS PERI GARLIC SAUCE - 250ml,ناندوز,Nando's,الصلصات والشطة,Sauces,18.95,21.99,3.039999999999999,4,4,18.95,3,عقيق (عادي),Aqiq (Regular),64,3
23,الصلصة الحارة بيري بيري - 250 مل,NANDOS PERI PERI HOT SAUCE - 250ml,ناندوز,Nando's,الصلصات والشطة,Sauces,18.95,21.99,3.039999999999999,4,4,18.95,3,عقيق (عادي),Aqiq (Regular),64,3
24,الصلصة الحارة بيري بيري بالليمون والأعشاب - 250 مل,NANDOS PERI PERI LEMON&HERBS SAUCE - 250ml,ناندوز,Nando's,الصلصات والشطة,Sauces,18.95,21.99,3.039999999999999,3,3,18.95,3,عقيق (عادي),Aqiq (Regular),64,3
25,الصلصة الحارة بيري بيري - 250 مل,NANDOS PERI PERI SAUCE - 250ml,ناندوز,Nando's,الصلصات والشطة,Sauces,18.95,21.99,3.039999999999999,3,3,18.95,3,عقيق (عادي),Aqiq (Regular),64,3
26,الصلصة الحارة بيري بيري الحارة جداً - 250 مل,NANDOS PERI PERI XX HOT SAUCE - 250ml,ناندوز,Nando's,الصلصات والشطة,Sauces,18.95,19.5,0.5500000000000007,3,3,18.95,3,عقيق (عادي),Aqiq (Regular),64,3
27,صلصه ثاوزند ايلاند 473 مل,Thousand Island Salad Dressing -  473ml,فرشلي,Freshly,الصلصات والشطة,Sauces,16.5,23.99,7.489999999999998,5,5,16.5,1,الملقا V152,Al Malqa V152,20,1
29,مايونيز بالفلفل الحار - 400 مل,Chilli Mayo - 400Ml,هاينز,Heinz,الصلصات والشطة,Sauces,22.95,25.99,3.039999999999999,5,5,22.95,1,الملقا V152,Al Malqa V152,20,1
30,تتبيلة سلطة الرانش الأصلية - 400 مل,Original Ranch dressing - 400Ml,هاينز,Heinz,الصلصات والشطة,Sauces,28.95,33.99,5.040000000000003,4,4,28.95,3,عقيق (عادي),Aqiq (Regular),64,3
32,مايونيز بالليمون - 340 مل,Mayonnaise Lemon - 340Ml,مازولا,Mazola,الصلصات والشطة,Sauces,15.95,16.99,1.0399999999999991,3,3,15.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
33,مايونيز حار - 340 مل,Mayonnaise Chilli - 340Ml,مازولا,Mazola,الصلصات والشطة,Sauces,15.95,16.5,0.5500000000000007,3,3,15.95,4,النفل,An Nafal - Riyadh,4,4
34,مايونيز سكويز - 340 مل,Mayonnaise Squeezy - 340Ml,مازولا,Mazola,الصلصات والشطة,Sauces,15.95,20.5,4.550000000000001,5,5,15.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
35,مايونيز بالثوم - 340 مل,Mayonnaise with garlic - 340Ml,مازولا,Mazola,الصلصات والشطة,Sauces,15.95,18.25,2.3000000000000007,5,5,15.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
36,مايونيز لايت - 340 مل,Lite Mayonnaise - 340Ml,مازولا,Mazola,الصلصات والشطة,Sauces,16.95,16.95,0.0,1,1,16.95,3,عقيق (عادي),Aqiq (Regular),64,3
38,مايونيز الأصلي - 940 مل,Creamy Classic Mayonnaise -  940 Ml,هاينز,Heinz,الصلصات والشطة,Sauces,22.95,29.75,6.800000000000001,5,5,22.95,4,النفل,An Nafal - Riyadh,4,4
39,تتبيلة السلطة بلو تشيز - 473 مل,Blue cheesse dressing - 473Ml,فرشلي,Freshly,الصلصات والشطة,Sauces,22.5,25.25,2.75,4,4,22.5,3,عقيق (عادي),Aqiq (Regular),64,3
41,تونة قابلة للدهن -  220 مل,Tuna Spread - 220 Ml,ليدز شويز,Ladys Choice,الصلصات والشطة,Sauces,15.5,15.5,0.0,1,1,15.5,4,النفل,An Nafal - Riyadh,4,4
43,مايونيز بالكاتشاب - 300 مل,Mayo Chup - 300Ml,ديليسيو,Delicio,الصلصات والشطة,Sauces,13.5,18.5,5.0,3,3,13.5,4,النفل,An Nafal - Riyadh,4,4
45,مايونيز بالثوم - 300 مل,Mayonnaise Garlic - 300Ml,ديليسيو,Delicio,الصلصات والشطة,Sauces,14.95,18.5,3.5500000000000007,5,5,14.95,1,الملقا V152,Al Malqa V152,20,1
46,مايونيز بالفلفل الحار - 225 غرام,Fiery chilli tomato Mayonnaise - 225G,هاينز,Heinz,الصلصات والشطة,Sauces,14.95,17.5,2.5500000000000007,5,5,14.95,1,الملقا V152,Al Malqa V152,20,1
48,تتبيلة السلطة حارة بالثوم - 267 مل,Pepper garlic spicy dressing - 267Ml,ديليسيو,Delicio,الصلصات والشطة,Sauces,13.5,13.5,0.0,1,1,13.5,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
49,صلصة الصويا -  150 مل,Soy Sauce -  150 Ml,كيكومان,Kikkoman,الصلصات والشطة,Sauces,14.95,15.0,0.05000000000000071,3,3,14.95,1,الملقا V152,Al Malqa V152,20,1
52,صلصة للسلطة - 425 غرام,Salad Cream Squeezy - 425G,هاينز,Heinz,الصلصات والشطة,Sauces,28.95,28.95,0.0,1,1,28.95,1,الملقا V152,Al Malqa V152,20,1
53,تتبيلة السلطة ثاوزند أيلاند - 400 مل,Rich Thousand Island Salad - 400Ml,هاينز,Heinz,الصلصات والشطة,Sauces,28.95,33.99,5.040000000000003,4,4,28.95,3,عقيق (عادي),Aqiq (Regular),64,3
54,أرز مزة هندي بسمتي -  5 كيلو,Indian Mazza Basmati Rice - 5Kg,ابو كاس,Abu kass,أرز,Rice,39.99,48.5,8.509999999999998,4,4,39.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
55,أرز بسمتي أبيض -  2 كيلو,Brown Basmati Rice -  2Kg,بنجابي المهيدب,Punjabi Al Muhaidib,أرز,Rice,22.99,28.99,6.0,6,6,22.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
57,أرز بسمتي أبيض -  5 كيلو,White Basmati Rice - 5Kg,بنجابي المهيدب,Punjabi Al Muhaidib,أرز,Rice,44.99,66.29,21.300000000000004,6,6,44.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
58,أرز كالروز -  1 كيلو,Calrose Rice - 1Kg,صنوايت,Sunwhite,أرز,Rice,11.75,15.99,4.24,5,5,11.75,1,الملقا V152,Al Malqa V152,20,1
59,أرز كالروز -  5 كيلو,Calrose Rice -  5Kg,صنوايت,Sunwhite,أرز,Rice,41.99,53.95,11.96,4,4,41.99,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
60,أرز كالروز -  5 كيلو,Calrose Rice - 5Kg,وايت سوان,White Swan,أرز,Rice,25.99,39.95,13.960000000000004,6,6,25.99,4,النفل,An Nafal - Riyadh,4,4
61,بابكر أرز مزة هندي بسمتي -  10 كيلو,Babaker Indian Mazza Basmati Rice - 10Kg,ابو كاس,Abu kass,أرز,Rice,76.99,95.79,18.80000000000001,5,5,76.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
62,أرز كالروز أبيض -  5 كيلو,Calrose White Rice - 5Kg,ابو بنت,Abu Bint,أرز,Rice,30.95,44.99,14.040000000000003,4,4,30.95,1,الملقا V152,Al Malqa V152,20,1
65,معجون الطماطم - 8 × 130 غرام,100% Natural Tomato Paste -  8 x 130G,العلالي,Al Alali,خضروات وبقوليات معلبة,Canned Vegetables & Beans,10.0,17.99,7.989999999999998,4,4,10.0,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
66,معجون الطماطم -  6 × 220 غرام,100% Natural Tomato Paste -  6 x 220G,العلالي,Al Alali,خضروات وبقوليات معلبة,Canned Vegetables & Beans,18.5,20.95,2.4499999999999993,2,2,18.5,4,النفل,An Nafal - Riyadh,4,4
68,معجون طماطم -  8 × 135 غرام,Tomato Paste -  8 x 135G,هاينز,Heinz,خضروات وبقوليات معلبة,Canned Vegetables & Beans,14.99,19.5,4.51,3,3,14.99,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
70,فاصولياء مطبوخة بصلصة الطماطم -  200 غرام,Beanz Original Baked Beans In a Deliciously Tomato Sauce -  200G,هاينز,Heinz,خضروات وبقوليات معلبة,Canned Vegetables & Beans,7.5,7.5,0.0,1,1,7.5,4,النفل,An Nafal - Riyadh,4,4
71,معجون طماطم - 135 غرام,Tomato Paste -  135G,هاينز,Heinz,خضروات وبقوليات معلبة,Canned Vegetables & Beans,1.99,3.0,1.01,2,2,1.99,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
72,معجون طماطم -  8 × 135 غرام,Tomato Paste - 8 x 135G,السعودية,Saudia,خضروات وبقوليات معلبة,Canned Vegetables & Beans,14.95,15.99,1.040000000000001,3,3,14.95,1,الملقا V152,Al Malqa V152,20,1
73,معجون الطماطم - 135x8 غرام,Natural Tomato Paste -  8 x 135G,كي دي دي,KDD,خضروات وبقوليات معلبة,Canned Vegetables & Beans,12.99,14.5,1.5099999999999998,6,6,12.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
74,معجون الطماطم -  8 × 135 غرام,Tomato Paste -  8 x 135G,ندى,Nada,خضروات وبقوليات معلبة,Canned Vegetables & Beans,8.99,15.0,6.01,5,5,8.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
79,فاصوليا مطبوخة معلبة -  219 غرام,Baked Beans -  219G,سميدلي,Smedley,خضروات وبقوليات معلبة,Canned Vegetables & Beans,5.75,14.95,9.2,3,3,5.75,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
81,طماطم حب مقشرة في عصير الطماطم -  390 غرام,Whole Peeled Plum Tomatoes In Tomato Juice -  390G,فرشلي,Freshly,خضروات وبقوليات معلبة,Canned Vegetables & Beans,4.5,4.99,0.4900000000000002,4,4,4.5,3,عقيق (عادي),Aqiq (Regular),64,3
83,طماطم مقطّعة في عصير الطماطم -  400 غرام,Chopped Tomatoes In Tomato Juice -  400G,قودي,Goody,خضروات وبقوليات معلبة,Canned Vegetables & Beans,5.95,6.99,1.04,4,4,5.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
90,طماطم مقشرة في عصير الطماطم - 400 غرام,Whole peeled tomato - 400G,هناء,Hanaa,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.75,4.5,0.75,4,4,3.75,4,النفل,An Nafal - Riyadh,4,4
94,ذره بدون ملح أو سكر - 340 غرام,Corn no salt or sugar - 340G,العملاق الأخضر,Green Giant,خضروات وبقوليات معلبة,Canned Vegetables & Beans,8.5,9.75,1.25,5,5,8.5,4,النفل,An Nafal - Riyadh,4,4
95,معجون صلصلة الطماطم مع البصل - 400 غرام,Chopped tomato with onion - 400G,هناء,Hanaa,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.75,3.95,0.20000000000000018,2,2,3.75,4,النفل,An Nafal - Riyadh,4,4
96,معجون صلصة الطماطم مع البصل والثوم - 400 غرام,Chopped tomato with onion & garlic - 400G,هناء,Hanaa,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.75,3.95,0.20000000000000018,2,2,3.75,4,النفل,An Nafal - Riyadh,4,4
99,معجون طماطم - 800 غرام,Tomato Paste - 800G,بيب,PEEP,خضروات وبقوليات معلبة,Canned Vegetables & Beans,8.25,8.25,0.0,1,1,8.25,4,النفل,An Nafal - Riyadh,4,4
100,صلصة البيتزا بالفطر - 680 غرام,Mushroom Pizza sauce - 680G,فرشلي,Freshly,الصلصات والشطة,Sauces,25.95,25.99,0.03999999999999915,2,2,25.95,3,عقيق (عادي),Aqiq (Regular),64,3
101,طماطم كاملة مقشرة - 390 غرام,Whole Peeled Plum Tomatoes - 390G,بيب,PEEP,خضروات وبقوليات معلبة,Canned Vegetables & Beans,4.0,4.25,0.25,3,3,4.0,4,النفل,An Nafal - Riyadh,4,4
103,طماطم مقشرة - 400 غرام,Italian Whole Peeled Tomatoes - 400G,الطائي,Al taie,خضروات وبقوليات معلبة,Canned Vegetables & Beans,2.75,4.55,1.7999999999999998,4,4,2.75,4,النفل,An Nafal - Riyadh,4,4
109,فاصوليا مطبوخة - 420 غرام,Baked Beans - 420G,قودي,Goody,خضروات وبقوليات معلبة,Canned Vegetables & Beans,5.75,5.99,0.2400000000000002,3,3,5.75,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
110,فاصوليا بالطماطم الفلفل الحار - 380 غرام,Spicy Beans Baked With Tomato Sauce Spicy - 380G,لونا,Luna,خضروات وبقوليات معلبة,Canned Vegetables & Beans,4.5,5.25,0.75,3,3,4.5,3,عقيق (عادي),Aqiq (Regular),64,3
114,النخلة حلاوة طحينية فاخرة سادة -  1 كيلو,AlNakhla Finest Halawa Plain -  1Kg,حلواني اخوان,Halwani Brothers,منتجات قابلة للدهن,Spreads,36.5,48.5,12.0,5,5,36.5,4,النفل,An Nafal - Riyadh,4,4
115,النخلة حلاوة طحينية فاخرة سادة -  500 غرام,AlNakhla Finest Halawa Plain -  500G,حلواني اخوان,Halwani Brothers,منتجات قابلة للدهن,Spreads,15.0,25.25,10.25,5,5,15.0,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
116,صلصة الصويا -  600 مل,Soy Sauce -  600 Ml,كيكومان,Kikkoman,الصلصات والشطة,Sauces,21.99,31.99,10.0,4,4,21.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
120,فول مدمس مقشور بالفلفل -  450 غرام,Peeled Fava Bean With Chili - 450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.25,6.95,3.7,5,5,3.25,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
122,صلصة صويا حلوة -  625 مل,Sweet Soy Sauce -  625 Ml,اندوفود,Indofood,الصلصات والشطة,Sauces,18.95,24.5,5.550000000000001,5,5,18.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
123,فول بالخلطة المصرية -  450 غرام,Fava beans Egyptian Recipe -  450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.25,6.95,3.7,5,5,3.25,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
124,فول مدمس خلطة الكشنة السعودي -  450 غرام,Fava Beans Saudi KOSHNA Recipe -  450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.25,6.95,3.7,4,4,3.25,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
125,فول مدمس بالخلطة اللبنانية -  450 غرام,Fava beans Lebanese Recipe -  450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.25,6.95,3.7,5,5,3.25,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
126,فول مقشر - 450 غرام,Peeled Fava Beans Secret Recipe -  450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,6.75,6.95,0.20000000000000018,3,3,6.75,1,الملقا V152,Al Malqa V152,20,1
128,فول مدمس سادة حبة درجة اولى -  450 غرام,Premium Fava Beans Plain Medammes -  450G,حدائق كاليفورنيا,California Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,3.85,4.5,0.6499999999999999,4,4,3.85,4,النفل,An Nafal - Riyadh,4,4
130,طحينة سائلة -  500 غرام,Tahina Liquid -  500G,الجبل,Al Jabal,خضروات وبقوليات معلبة,Canned Vegetables & Beans,23.99,23.99,0.0,1,1,23.99,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
131,تورتيلا بالفلفل الحار -  8 انش 6 قطع 250 غرام,Spicy Tortilla Wraps -  8 Inch 6 Pieces 250G,فونتي,Fonte,الخبز والكرواسون,Packaged Bread & Croissant,7.99,8.25,0.2599999999999998,5,5,7.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
134,النخلة حلاوة طحينية فاخرة سادة -  250 غرام,AlNakhla Finest Halawa Plain -  250G,حلواني اخوان,Halwani Brothers,منتجات قابلة للدهن,Spreads,13.75,18.5,4.75,6,6,13.75,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
135,فلفل جلابينو شرائح - 453 غرام,Nacho Sliced Jalapeno Peppers - 453G,فرشلي,Freshly,زيتون ومخللات,Olives & Pickles,11.95,16.5,4.550000000000001,5,5,11.95,1,الملقا V152,Al Malqa V152,20,1
136,صلصة صويا -  1 لتر,Soy Sauce - 1L,كيكومان,Kikkoman,الصلصات والشطة,Sauces,36.75,49.5,12.75,4,4,36.75,4,النفل,An Nafal - Riyadh,4,4
137,حمص بالطحينة -  380 غرام,Hommos Tahini - 380G,حدائق شتورة,Chtoura Garden,خضروات وبقوليات معلبة,Canned Vegetables & Beans,6.5,6.99,0.4900000000000002,3,3,6.5,1,الملقا V152,Al Malqa V152,20,1
138,الطحينة الذهبية -  450 غرام,Golden Tahini -  450G,الكسيح,Kasih,خضروات وبقوليات معلبة,Canned Vegetables & Beans,24.25,27.99,3.7399999999999984,5,5,24.25,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
139,صلصة المحار - 350 مل,Oyster Sauce - 350Ml,مكاتي,Makati,الصلصات والشطة,Sauces,12.5,12.5,0.0,1,1,12.5,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
140,حليب جوز الهند - 165 مل,Coconut Milk - 165 Ml,مكاتي,Makati,بديل الحليب,Milk Alternatives,3.25,4.25,1.0,5,5,3.25,3,عقيق (عادي),Aqiq (Regular),64,3
145,زبدة الفول السوداني الخشنة -  510 غرام,Chunky Peanut Butter -  510G,قودي,Goody,منتجات قابلة للدهن,Spreads,15.0,22.95,7.949999999999999,4,4,15.0,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
146,زيت ذرة نقي -  750 مل,Pure Corn Oil -  750 Ml,عافية,Afia,زيت,Oil,16.95,21.99,5.039999999999999,3,3,16.95,3,عقيق (عادي),Aqiq (Regular),64,3
150,زيت زيتون بكر ممتاز -  500 مل,Extra Virgin Olive Oil -  500 Ml,عافية,Afia,زيت,Oil,24.95,43.5,18.55,5,5,24.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
151,زيت الذرة -  1.5 لتر,Corn Oil -  1.5L,مازولا,Mazola,زيت,Oil,30.95,32.99,2.0400000000000027,4,4,30.95,4,النفل,An Nafal - Riyadh,4,4
152,زيت زيتون عضوي بكر ممتاز عصرة أولى -  500 مل,Organic Extra Virgin First Extraction Olive Oil - 500 Ml,نادك,Nadec,زيت,Oil,22.5,34.95,12.450000000000003,6,6,22.5,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
154,زيت زيتون مزيج من زيت زيتون بكر و زيت زيتون مكرر -  500 مل,Olive Oil -  500 Ml,الوزير,Al Wazir,زيت,Oil,20.99,28.99,8.0,6,6,20.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
156,زيت دوار شمس، عرض خاص -  2 × 1.5 لتر + 500 مل مجاناً,Sunflower Oil - 2 x 1.5L + Free 500 Ml,نور,Noor,زيت,Oil,36.99,52.95,15.96,4,4,36.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
157,زيت دوار شمس -  2.7 لتر,Sunflower Oil - 2.7L,نور,Noor,زيت,Oil,46.95,50.25,3.299999999999997,4,4,46.95,3,عقيق (عادي),Aqiq (Regular),64,3
158,زبدة الفول السوداني الخشنة -  340 غرام,Chunky Peanut Butter -  340G,قودي,Goody,منتجات قابلة للدهن,Spreads,14.99,15.99,1.0,4,4,14.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
159,زبدة الفول السوداني الناعمة -  340 غرام,Creamy Peanut Butter -  340G,قودي,Goody,منتجات قابلة للدهن,Spreads,14.99,15.99,1.0,5,5,14.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
160,زبدة الفول السوداني الناعمة -  510 غرام,Creamy Peanut Butter -  510G,قودي,Goody,منتجات قابلة للدهن,Spreads,15.0,22.95,7.949999999999999,4,4,15.0,2,الرياض - العالية بلازا,Riyadh - Alia Plaza,9,2
161,عسل نحل صافي -  500 غرام,Bee Honey -  500G,لانجنيز,Langnese,منتجات قابلة للدهن,Spreads,41.5,48.5,7.0,3,3,41.5,3,عقيق (عادي),Aqiq (Regular),64,3
162,كريما البندق مع الكاكاو -  200 غرام,Hazelnut Spread With Cocoa -  200G,نوتيلا,Nutella,منتجات قابلة للدهن,Spreads,15.95,15.95,0.0,2,2,15.95,3,عقيق (عادي),Aqiq (Regular),64,3
163,كريما البندق مع الكاكاو -  750 غرام,Hazelnut Spread With Cocoa -  750G,نوتيلا,Nutella,منتجات قابلة للدهن,Spreads,26.5,41.79,15.29,5,5,26.5,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
164,كريما البندق مع الكاكاو -  1000 غرام,Hazelnut Spread With Cocoa -  1000G,نوتيلا,Nutella,منتجات قابلة للدهن,Spreads,39.99,49.99,10.0,5,5,39.99,3,عقيق (عادي),Aqiq (Regular),64,3
165,كريما البندق مع الكاكاو -  400 غرام,Hazelnut Spread With Cocoa -  400G,نوتيلا,Nutella,منتجات قابلة للدهن,Spreads,22.95,27.99,5.039999999999999,5,5,22.95,4,النفل,An Nafal - Riyadh,4,4
167,عسل الغابة السوداء -  250 غرام,Black Forest Honey -  250G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,56.25,59.0,2.75,2,2,56.25,1,الملقا V152,Al Malqa V152,20,1
168,عسل طبيعي -  250 غرام,Natural Honey -  250G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,25.75,26.99,1.2399999999999984,6,6,25.75,1,الملقا V152,Al Malqa V152,20,1
169,عسل طبيعي -  500 غرام,Natural Honey 500G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,28.5,45.5,17.0,5,5,28.5,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
170,عسل طبيعي -  750 غرام,Natural Honey -   750G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,53.75,63.99,10.240000000000002,4,4,53.75,4,النفل,An Nafal - Riyadh,4,4
172,مربى الفراولة -  400 غرام,Strawberry Jam -  400G,حلواني اخوان,Halwani Brothers,منتجات قابلة للدهن,Spreads,11.95,15.5,3.5500000000000007,6,6,11.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
174,عسل النحل الصافي - 250 غرام,Pure Bee Buenhoning Honey - 250G,لانجنيز,Langnese,منتجات قابلة للدهن,Spreads,26.5,26.5,0.0,1,1,26.5,3,عقيق (عادي),Aqiq (Regular),64,3
175,عسل طبيعي - 125 غرام,Natural Honey - 125G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,12.25,13.75,1.5,5,5,12.25,4,النفل,An Nafal - Riyadh,4,4
176,عسل طبيعي -  250 غرام,Natural Honey - 250G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,29.95,37.99,8.040000000000003,4,4,29.95,6,لولو هايبر ماركت - الرياض,LuLu Hyper Market - Riyadh,1,6
178,عسل الغابة السوداء -  500 غرام,Black Forest Honey -  500G,الشفاء,Al Shifa,منتجات قابلة للدهن,Spreads,55.99,117.99,61.99999999999999,5,5,55.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
179,مربى توت العليق الأحمر بدون سكر مضاف -  284 غرام,Red Raspberry Jam No Sugar Added -  284G,سان دالفور,St. Dalfour,منتجات قابلة للدهن,Spreads,23.75,31.5,7.75,6,6,23.75,4,النفل,An Nafal - Riyadh,4,4
180,مربى توت العليق الأسود بدون سكر مضاف -  284 غرام,Black Raspberry Jam No Sugar Added -  284G,سان دالفور,St. Dalfour,منتجات قابلة للدهن,Spreads,25.99,31.5,5.510000000000002,5,5,25.99,5,أسواق العثيم - الرياض,Othaim Markets - Riyadh,1,5
